block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_glass,default,16,3072,0,2.698261,0.059261,0.099476,0.319157,0.426208,64
vandorlabs:programmable_glass,default,64,12288,0,3.185083,0.189114,0.207258,0.599582,0.656198,64
vandorlabs:programmable_half_console,default,16,0,16,0.013946,0.153187,0.190086,0.424464,0.491671,33312
vandorlabs:programmable_half_console,default,64,0,64,0.034766,0.506217,0.591207,1.027293,1.115338,50208
vandorlabs:programmable_half_input,default,16,0,16,0.015760,0.108894,0.147817,0.371516,0.432901,6944
vandorlabs:programmable_half_input,default,64,0,64,0.027992,0.374181,0.437519,0.761736,0.953124,27680
vandorlabs:programmable_input,default,16,0,16,0.015780,0.129363,0.166461,0.414896,0.466945,6304
vandorlabs:programmable_input,default,64,0,64,0.039053,0.421179,0.500727,0.963984,1.074792,25120
vandorlabs:programmable_light,default,16,0,16,0.025969,0.066545,0.102733,0.385011,0.474939,2976
vandorlabs:programmable_light,default,64,0,64,0.057157,0.161994,0.200235,0.862836,0.958555,11808
vandorlabs:programmable_light,facing_down,16,0,16,0.026970,0.059341,0.097292,0.360425,0.405409,2976
vandorlabs:programmable_light,facing_up,16,0,16,0.065622,0.046528,0.059191,0.322584,0.370864,2976
vandorlabs:programmable_light,facing_north,16,0,16,0.015840,0.044464,0.060874,0.335428,0.403084,2976
vandorlabs:programmable_light,facing_south,16,0,16,0.015409,0.045275,0.073378,0.324157,0.393277,2976
vandorlabs:programmable_light,facing_west,16,0,16,0.017102,0.045726,0.063609,0.343493,0.385331,2976
vandorlabs:programmable_light,facing_east,16,0,16,0.016400,0.044263,0.066935,0.318666,0.368980,2976
vandorlabs:programmable_light,light_joined,64,0,64,0.032791,0.141224,0.194394,0.788657,0.900617,11808
vandorlabs:programmable_porthole_block,default,16,0,16,0.024636,0.258785,0.364022,0.600996,0.732041,36640
vandorlabs:programmable_porthole_block,default,64,0,64,0.030748,0.956180,1.094369,1.916007,2.175553,138272
vandorlabs:programmable_porthole_block,round_joined,64,0,64,0.024687,0.936504,1.405291,1.846818,2.363224,225952
vandorlabs:programmable_porthole_block,round_unjoined,64,0,64,0.024405,1.301026,1.712145,2.320765,2.995989,279584
vandorlabs:programmable_porthole_wall,default,16,0,16,0.013996,0.228157,0.278651,0.559317,0.633326,17824
vandorlabs:programmable_porthole_wall,default,64,0,64,0.023284,0.873395,1.015191,1.619202,2.006136,71200
vandorlabs:programmable_porthole_wall,round_joined,64,0,64,0.024787,0.762046,0.808273,1.435638,1.495650,69472
vandorlabs:programmable_porthole_wall,round_unjoined,64,0,64,0.025517,1.329590,1.456617,2.229855,2.352795,79392
vandorlabs:programmable_ramp,default,16,384,0,0.203320,0.015449,0.027952,0.239058,0.323556,64
vandorlabs:programmable_ramp,default,64,1536,0,0.407774,0.039755,0.057517,0.455382,0.534200,64
vandorlabs:programmable_slab,default,16,384,16,0.476582,0.021800,0.051877,0.238026,0.324668,64
vandorlabs:programmable_slab,default,64,1536,64,0.528039,0.042129,0.057688,0.388166,0.466153,64
vandorlabs:programmable_slab,floor_8x8,64,640,64,0.456575,0.031338,0.051847,0.274925,0.581478,64
vandorlabs:programmable_slab,solid_4x4x4,64,768,64,0.410589,0.036869,0.051246,0.267481,0.342221,64
vandorlabs:programmable_slab,facing_down,16,384,16,0.171561,0.019706,0.052829,0.225061,0.322324,64
vandorlabs:programmable_slab,facing_up,16,384,16,0.194525,0.015910,0.027251,0.218740,0.284993,64
vandorlabs:programmable_slab,facing_north,16,384,16,0.236683,0.016420,0.030457,0.223028,0.283250,64
vandorlabs:programmable_slab,facing_south,16,384,16,0.161712,0.017223,0.032852,0.232906,0.273402,64
vandorlabs:programmable_slab,facing_west,16,384,16,0.167334,0.020469,0.031980,0.235782,0.289532,64
vandorlabs:programmable_slab,facing_east,16,384,16,0.180809,0.017563,0.030968,0.231243,0.283551,64
vandorlabs:programmable_slab,upper_tiled,16,384,16,0.186589,0.015909,0.050795,0.226344,0.308548,64
vandorlabs:programmable_trigger_block,default,16,0,16,0.187712,0.042840,0.055453,0.306774,0.371415,5280
vandorlabs:programmable_trigger_block,default,64,0,64,0.173345,0.159028,0.238256,0.815297,0.945370,21024
vandorlabs:programmable_viewscreen,default,16,0,16,0.035246,0.143168,0.198412,0.496700,0.603369,2336
vandorlabs:programmable_viewscreen,default,64,0,64,0.057808,0.398175,0.438661,1.085652,1.195999,9248
vandorlabs:programmable_wall,default,16,0,16,0.037149,0.072005,0.103955,0.344224,0.402173,8736
vandorlabs:programmable_wall,default,64,0,64,0.017953,0.248536,0.296806,0.694180,0.797843,34848
vandorlabs:rocket_thruster,default,16,5376,0,0.699049,0.108463,0.128791,0.466163,0.514203,64
vandorlabs:rocket_thruster,default,64,21504,0,2.666722,0.333465,0.367809,1.095251,1.143240,64
vandorlabs:rocket_thruster_hexagonal,default,64,13824,0,1.455955,0.241943,0.271228,0.786392,0.859779,64
vandorlabs:rocket_thruster_wedge,default,64,11520,0,1.169810,0.205595,0.240059,0.728784,0.795159,64
vandorlabs:rocket_thruster,engine_joined,64,1952,0,1.299513,0.047869,0.068748,0.477394,0.535343,64
