block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_glass,default,16,3072,16,2.394242,0.056826,0.069801,0.293990,0.357379,64
vandorlabs:programmable_glass,default,64,12288,64,3.112537,0.190627,0.222988,0.584113,0.633165,64
vandorlabs:programmable_half_console,default,16,0,16,0.013425,0.143649,0.210855,0.424084,0.536534,33312
vandorlabs:programmable_half_console,default,64,0,64,0.028934,0.520244,0.611175,1.045688,1.132270,50208
vandorlabs:programmable_half_input,default,16,0,16,0.017062,0.115005,0.129262,0.376465,0.436337,6944
vandorlabs:programmable_half_input,default,64,0,64,0.039173,0.357920,0.421510,0.753881,0.945730,27680
vandorlabs:programmable_input,default,16,0,16,0.016051,0.124724,0.150341,0.399638,0.453079,6304
vandorlabs:programmable_input,default,64,0,64,0.029536,0.420397,0.570328,0.955549,1.097024,25120
vandorlabs:programmable_light,default,16,0,16,0.023284,0.060563,0.096911,0.387145,0.441076,2976
vandorlabs:programmable_light,default,64,0,64,0.041758,0.159820,0.241201,0.910715,1.057129,11808
vandorlabs:programmable_light,facing_down,16,0,16,0.027020,0.051136,0.075461,0.332713,0.428392,2976
vandorlabs:programmable_light,facing_up,16,0,16,0.082224,0.047328,0.061936,0.328274,0.377367,2976
vandorlabs:programmable_light,facing_north,16,0,16,0.017904,0.044383,0.067417,0.333063,0.387525,2976
vandorlabs:programmable_light,facing_south,16,0,16,0.019537,0.044003,0.081022,0.345387,0.381554,2976
vandorlabs:programmable_light,facing_west,16,0,16,0.016982,0.044444,0.063720,0.318567,0.399308,2976
vandorlabs:programmable_light,facing_east,16,0,16,0.018204,0.040787,0.059742,0.309369,0.364803,2976
vandorlabs:programmable_light,light_joined,64,0,64,0.032190,0.138439,0.165580,0.763510,0.830014,11808
vandorlabs:programmable_porthole_block,default,16,0,16,0.026539,0.261970,0.410148,0.615833,0.815096,36640
vandorlabs:programmable_porthole_block,default,64,0,64,0.023895,0.950750,1.297870,1.902772,2.246986,138272
vandorlabs:programmable_porthole_block,round_joined,64,0,64,0.027863,0.914742,1.376667,1.783990,2.227670,225952
vandorlabs:programmable_porthole_block,round_unjoined,64,0,64,0.030267,1.385233,1.892904,2.633370,3.042566,279584
vandorlabs:programmable_porthole_wall,default,16,0,16,0.013806,0.231714,0.296806,0.581519,0.637804,17824
