block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_half_input,default,64,0,64,0.029806,0.374270,0.548497,0.759051,0.951441,27680
vandorlabs:programmable_input,default,16,0,16,0.021650,0.119354,0.145973,0.386083,0.426248,6304
vandorlabs:programmable_input,default,64,0,64,0.025508,0.429865,0.578192,0.938778,1.188094,25120
vandorlabs:programmable_light,default,16,0,16,0.020729,0.056406,0.081022,0.372998,0.432721,2976
vandorlabs:programmable_light,default,64,0,64,0.038512,0.153728,0.306904,0.889735,1.062960,11808
vandorlabs:programmable_light,facing_down,16,0,16,0.018866,0.050705,0.136635,0.338574,0.415407,2976
vandorlabs:programmable_light,facing_up,16,0,16,0.019136,0.049472,0.082965,0.353371,0.497311,2976
vandorlabs:programmable_light,facing_north,16,0,16,0.018264,0.042499,0.055554,0.333294,0.414475,2976
vandorlabs:programmable_light,facing_south,16,0,16,0.019587,0.043441,0.086001,0.321853,0.423673,2976
vandorlabs:programmable_light,facing_west,16,0,16,0.020037,0.043612,0.057788,0.337592,0.386023,2976
vandorlabs:programmable_light,facing_east,16,0,16,0.017944,0.039394,0.055354,0.315631,0.350487,2976
vandorlabs:programmable_light,light_joined,64,0,64,0.039975,0.125926,0.164157,0.785210,0.864358,11808
vandorlabs:programmable_porthole_block,default,16,0,16,0.012544,0.244819,0.340628,0.597479,0.681496,36640
vandorlabs:programmable_porthole_block,default,64,0,64,0.037550,0.913299,1.324329,1.818495,2.255022,138272
vandorlabs:programmable_porthole_block,round_joined,64,0,64,0.023654,0.895957,1.279145,1.760626,2.353757,225952
vandorlabs:programmable_porthole_block,round_unjoined,64,0,64,0.024907,1.309883,1.638667,2.428617,3.213185,73248
vandorlabs:programmable_porthole_wall,default,16,0,16,0.014136,0.224661,0.304320,0.559618,0.663172,17824
vandorlabs:programmable_porthole_wall,default,64,0,64,0.031449,0.863537,1.267513,1.621476,2.083441,71200
vandorlabs:programmable_porthole_wall,round_joined,64,0,64,0.023644,0.820346,0.950119,1.579247,1.695765,69472
vandorlabs:programmable_porthole_wall,round_unjoined,64,0,64,0.024045,1.316615,1.407255,2.191833,2.327457,75296
vandorlabs:programmable_ramp,default,16,384,0,0.193702,0.015900,0.031318,0.238377,0.287868,64
vandorlabs:programmable_ramp,default,64,1536,0,0.413715,0.046126,0.060413,0.501098,1.019890,64
vandorlabs:programmable_slab,default,16,0,16,0.014257,0.039033,0.062096,0.263994,0.376094,4256
vandorlabs:programmable_slab,default,64,0,64,0.023984,0.126958,0.193362,0.636773,0.711633,16928
vandorlabs:programmable_slab,floor_8x8,64,0,64,0.029565,0.176931,0.304280,0.539841,0.676206,70688
vandorlabs:programmable_slab,solid_4x4x4,64,0,64,0.023835,0.148418,0.175979,0.521817,0.587390,86048
vandorlabs:programmable_slab,facing_down,16,0,16,0.020658,0.036137,0.058179,0.280284,0.348302,4256
vandorlabs:programmable_slab,facing_up,16,0,16,0.019887,0.036990,0.053901,0.252002,0.311553,4256
vandorlabs:programmable_slab,facing_north,16,0,16,0.019867,0.032281,0.046688,0.256500,0.340808,4256
vandorlabs:programmable_slab,facing_south,16,0,16,0.020779,0.039945,0.065974,0.272420,0.356578,4256
vandorlabs:programmable_slab,facing_west,16,0,16,0.020428,0.031740,0.043622,0.255668,0.305021,4256
vandorlabs:programmable_slab,facing_east,16,0,16,0.050274,0.036308,0.053961,0.276889,0.327894,4256
vandorlabs:programmable_slab,upper_tiled,16,0,16,0.022171,0.037079,0.059722,0.278521,0.364653,4256
vandorlabs:programmable_trigger_block,default,16,0,16,0.024176,0.043291,0.064461,0.313367,0.405039,5280
vandorlabs:programmable_trigger_block,default,64,0,64,0.032391,0.116778,0.177562,0.745235,0.870309,21024
vandorlabs:programmable_viewscreen,default,16,0,16,0.028603,0.131076,0.163747,0.474479,0.521336,2336
vandorlabs:programmable_viewscreen,default,64,0,64,0.038332,0.405579,0.471393,1.064123,1.170211,9248
vandorlabs:programmable_wall,default,16,0,16,0.008706,0.071354,0.101440,0.341369,0.387215,8736
vandorlabs:programmable_wall,default,64,0,64,0.014457,0.247934,0.284152,0.696243,0.804777,34848
vandorlabs:rocket_thruster,default,16,5376,0,0.713135,0.101029,0.129422,0.454661,0.520916,64
vandorlabs:rocket_thruster,default,64,21504,0,2.492016,0.341299,0.378548,1.177865,1.257845,64
vandorlabs:rocket_thruster_hexagonal,default,64,13824,0,1.413055,0.252032,0.284192,0.794568,0.874657,64
vandorlabs:rocket_thruster_wedge,default,64,11520,0,1.308339,0.214833,0.242604,0.765123,0.861492,64
vandorlabs:rocket_thruster,engine_joined,64,1952,0,1.509376,0.046918,0.067456,0.461995,0.518821,64
