block,variant,count,baked_vertices,tile_renderers,build_ms,submit_p50_ms,submit_p95_ms,complete_p50_ms,complete_p95_ms,allocated_bytes_p50
vandorlabs:programmable_glass,default,16,3072,0,2.431232,0.058420,0.081112,0.309901,0.344856,64
vandorlabs:programmable_glass,default,64,12288,0,3.131513,0.199293,0.227035,0.593000,0.647582,64
vandorlabs:programmable_half_console,default,16,0,16,0.012673,0.160019,0.228448,0.454251,0.544990,33312
vandorlabs:programmable_half_console,default,64,0,64,0.038572,0.535232,0.829102,1.075344,1.377820,50208
vandorlabs:programmable_half_input,default,16,0,16,0.018494,0.120686,0.327433,0.384440,0.576669,6944
vandorlabs:programmable_half_input,default,64,0,64,0.030908,0.387095,0.450714,0.769641,0.824474,27680
vandorlabs:programmable_input,default,16,0,16,0.014608,0.116709,0.157395,0.399818,0.434413,6304
vandorlabs:programmable_input,default,64,0,64,0.026610,0.414907,0.465531,0.975937,1.122482,25120
vandorlabs:programmable_light,default,16,0,16,0.026059,0.063469,0.085039,0.399057,0.509594,2976
vandorlabs:programmable_light,default,64,0,64,0.061235,0.165259,0.186258,0.881951,1.051418,11808
vandorlabs:programmable_light,facing_down,16,0,16,0.025638,0.051567,0.096621,0.347601,0.448880,2976
vandorlabs:programmable_light,facing_up,16,0,16,0.070752,0.045465,0.075061,0.339395,0.488325,2976
vandorlabs:programmable_light,facing_north,16,0,16,0.017403,0.045074,0.063348,0.340368,0.410579,2976
vandorlabs:programmable_light,facing_south,16,0,16,0.017052,0.045034,0.084027,0.324417,0.388127,2976
vandorlabs:programmable_light,facing_west,16,0,16,0.018144,0.043922,0.070161,0.334045,0.422731,2976
vandorlabs:programmable_light,facing_east,16,0,16,0.017302,0.043190,0.063699,0.303408,0.408555,2976
vandorlabs:programmable_light,light_joined,64,0,64,0.042499,0.142567,0.168195,0.758870,0.821168,11808
vandorlabs:programmable_porthole_block,default,16,0,16,0.019005,0.264415,0.385182,0.616614,0.749373,36640
vandorlabs:programmable_porthole_block,default,64,0,64,0.030838,0.920092,1.463280,1.783720,2.353777,138272
vandorlabs:programmable_porthole_block,round_joined,64,0,64,0.021911,0.899323,1.376437,1.746359,2.265451,225952
vandorlabs:programmable_porthole_block,round_unjoined,64,0,64,0.035176,1.388138,1.786715,2.590039,3.230929,73248
