family,members,register_ms,pulse_pair_p50_ms,pulse_pair_p95_ms
screens,16,23.066204,21.881366,22.642210
screens,64,20.721564,43.244561,46.240829
screens,256,65.341359,105.330194,111.231652
joined_lights,16,131.951543,0.241352,0.302456
joined_lights,64,519.828528,0.482633,0.492091
joined_lights,256,2071.760619,1.257234,1.396484
