family,members,register_ms,pulse_pair_p50_ms,pulse_pair_p95_ms
screens,16,27.842425,25.571274,30.730072
screens,64,21.429710,41.291434,46.981387
screens,256,62.815941,105.091308,111.418862
joined_lights,16,135.706613,0.252082,0.448109
joined_lights,64,498.983232,0.441747,0.482133
joined_lights,256,2073.428752,1.297018,1.555542
