family,members,register_ms,pulse_pair_p50_ms,pulse_pair_p95_ms
screens,16,40.237942,21.679307,23.589734
screens,64,21.106725,45.688897,50.327981
screens,256,61.476102,103.518002,109.051982
joined_lights,16,128.349810,0.493544,0.562783
joined_lights,64,541.536639,4.379729,4.576508
joined_lights,256,1982.342615,66.126098,71.822002
