family,members,register_ms,pulse_pair_p50_ms,pulse_pair_p95_ms,pulse_pair_allocated_bytes_p50
screens,16,22.893159,22.320568,27.200434,9020024
screens,64,20.824747,46.665265,48.062891,19015816
screens,256,70.101661,95.128044,98.864649,40816208
joined_lights,16,134.629336,0.226635,0.361136,157904
joined_lights,64,506.270194,0.466202,0.529241,465920
joined_lights,256,2068.292677,1.243969,1.275287,1697152
